class_id,class_name,precision,recall,f1,support,accuracy,dataset,shot,seed,model_key,model
14,Buildings-Grass-Trees-Drives,0.6917148362235067,0.9808743169398908,0.8112994350282486,366,0.9808743169398908,indian_pines,10,1,hybridsn_small,HybridSN-small
15,Stone-Steel-Towers,0.6033057851239669,1.0,0.7525773195876289,73,1.0,indian_pines,10,1,hybridsn_small,HybridSN-small
0,Alfalfa,0.4084507042253521,1.0,0.58,29,1.0,indian_pines,10,2,hybridsn_small,HybridSN-small
1,Corn-notill,0.8124076809453471,0.78125,0.7965242577842143,1408,0.78125,indian_pines,10,2,hybridsn_small,HybridSN-small
2,Corn-mintill,0.7475083056478405,0.8333333333333334,0.7880910683012259,810,0.8333333333333334,indian_pines,10,2,hybridsn_small,HybridSN-small
3,Corn,0.995260663507109,0.967741935483871,0.9813084112149532,217,0.967741935483871,indian_pines,10,2,hybridsn_small,HybridSN-small
4,Grass-pasture,0.9175946547884188,0.8898488120950324,0.9035087719298246,463,0.8898488120950324,indian_pines,10,2,hybridsn_small,HybridSN-small
5,Grass-trees,0.899488926746167,0.7436619718309859,0.8141865844255975,710,0.7436619718309859,indian_pines,10,2,hybridsn_small,HybridSN-small
6,Grass-pasture-mowed,0.4166666666666667,1.0,0.5882352941176471,15,1.0,indian_pines,10,2,hybridsn_small,HybridSN-small
7,Hay-windrowed,0.9913419913419912,1.0,0.9956521739130436,458,1.0,indian_pines,10,2,hybridsn_small,HybridSN-small
8,Oats,0.0432432432432432,1.0,0.082901554404145,8,1.0,indian_pines,10,2,hybridsn_small,HybridSN-small
9,Soybean-notill,0.8638392857142857,0.8130252100840336,0.8376623376623377,952,0.8130252100840336,indian_pines,10,2,hybridsn_small,HybridSN-small
10,Soybean-mintill,0.968861664114344,0.7794661190965092,0.863905325443787,2435,0.7794661190965092,indian_pines,10,2,hybridsn_small,HybridSN-small
11,Soybean-clean,0.8729729729729729,0.5636998254799301,0.6850477200424178,573,0.5636998254799301,indian_pines,10,2,hybridsn_small,HybridSN-small
12,Wheat,0.6423611111111112,1.0,0.7822410147991543,185,1.0,indian_pines,10,2,hybridsn_small,HybridSN-small
13,Woods,0.899184581171238,0.97429718875502,0.9352351580570548,1245,0.97429718875502,indian_pines,10,2,hybridsn_small,HybridSN-small
14,Buildings-Grass-Trees-Drives,0.6332179930795848,1.0,0.7754237288135594,366,1.0,indian_pines,10,2,hybridsn_small,HybridSN-small
15,Stone-Steel-Towers,0.2931726907630522,1.0,0.453416149068323,73,1.0,indian_pines,10,2,hybridsn_small,HybridSN-small
0,Alfalfa,0.1736526946107784,1.0,0.2959183673469387,29,1.0,indian_pines,10,3,hybridsn_small,HybridSN-small
