dataset,shot,qnn_label,true_class_id,true_class_name,pred_class_id,pred_class_name,baseline_count_mean,qnn_count_mean,delta_count_mean,delta_count_sum,increased_seeds,decreased_seeds
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,2,Corn-mintill,96.2,39.8,-56.4,-282,1,4
indian_pines,10,Spectral QNN + SupCon,13,Woods,1,Corn-notill,109.0,3.0,-106.0,-106,0,1
pavia_university,10,ConfidenceGuard-C + SupCon,1,Meadows,5,Bare Soil,567.0,789.4,222.4,1112,2,3
pavia_university,10,ConfidenceGuard-C + SupCon,0,Asphalt,7,Self-Blocking Bricks,259.25,454.75,195.5,782,3,1
pavia_university,10,ConfidenceGuard-C + SupCon,1,Meadows,7,Self-Blocking Bricks,345.0,485.6666666666667,140.66666666666666,422,1,2
pavia_university,10,ConfidenceGuard-C + SupCon,2,Gravel,7,Self-Blocking Bricks,132.2,256.2,124.0,620,3,2
pavia_university,10,ConfidenceGuard-C + SupCon,1,Meadows,0,Asphalt,367.25,483.75,116.5,466,3,1
pavia_university,10,ConfidenceGuard-C + SupCon,1,Meadows,8,Shadows,57.0,132.66666666666666,75.66666666666667,227,1,2
pavia_university,10,ConfidenceGuard-C + SupCon,1,Meadows,3,Trees,1409.2,1481.0,71.8,359,2,3
pavia_university,10,ConfidenceGuard-C + SupCon,1,Meadows,6,Bitumen,188.0,243.0,55.0,55,1,0
pavia_university,10,ConfidenceGuard-C + SupCon,5,Bare Soil,1,Meadows,248.0,280.5,32.5,130,3,1
pavia_university,10,ConfidenceGuard-C + SupCon,3,Trees,7,Self-Blocking Bricks,132.6,158.2,25.6,128,4,1
pavia_university,10,ConfidenceGuard-C + SupCon,3,Trees,1,Meadows,54.0,64.0,10.0,50,5,0
pavia_university,10,ConfidenceGuard-C + SupCon,3,Trees,5,Bare Soil,13.666666666666666,22.333333333333332,8.666666666666666,26,2,1
pavia_university,10,ConfidenceGuard-C + SupCon,6,Bitumen,8,Shadows,23.0,30.0,7.0,7,1,0
pavia_university,10,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,6,Bitumen,34.0,38.5,4.5,9,1,1
pavia_university,10,ConfidenceGuard-C + SupCon,6,Bitumen,0,Asphalt,0.0,2.0,2.0,2,1,0
pavia_university,10,ConfidenceGuard-C + SupCon,8,Shadows,5,Bare Soil,2.0,3.6666666666666665,1.6666666666666667,5,2,1
pavia_university,10,ConfidenceGuard-C + SupCon,8,Shadows,0,Asphalt,4.0,5.0,1.0,2,1,1
pavia_university,10,ConfidenceGuard-C + SupCon,6,Bitumen,5,Bare Soil,1.5,1.5,0.0,0,1,1
pavia_university,10,ConfidenceGuard-C + SupCon,2,Gravel,6,Bitumen,1.0,0.0,-1.0,-1,0,1
pavia_university,10,ConfidenceGuard-C + SupCon,8,Shadows,7,Self-Blocking Bricks,3.3333333333333335,2.0,-1.3333333333333333,-4,2,1
pavia_university,10,ConfidenceGuard-C + SupCon,8,Shadows,2,Gravel,15.2,13.4,-1.8,-9,2,3
pavia_university,10,ConfidenceGuard-C + SupCon,3,Trees,4,Painted metal sheets,3.0,1.0,-2.0,-2,0,1
pavia_university,10,ConfidenceGuard-C + SupCon,5,Bare Soil,6,Bitumen,2.0,0.0,-2.0,-2,0,1
pavia_university,10,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,4,Painted metal sheets,5.0,0.0,-5.0,-5,0,1
pavia_university,10,ConfidenceGuard-C + SupCon,0,Asphalt,1,Meadows,42.5,33.5,-9.0,-18,1,1
pavia_university,10,ConfidenceGuard-C + SupCon,8,Shadows,3,Trees,26.75,17.0,-9.75,-39,2,2
pavia_university,10,ConfidenceGuard-C + SupCon,5,Bare Soil,0,Asphalt,15.0,4.0,-11.0,-11,0,1
pavia_university,10,ConfidenceGuard-C + SupCon,5,Bare Soil,8,Shadows,13.666666666666666,2.0,-11.666666666666666,-35,1,2
