dataset,shot,seed,qnn_label,true_class_id,true_class_name,pred_class_id,pred_class_name,baseline_count,qnn_count,delta_count
pavia_university,10,1,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,3,Trees,687,92,-595
pavia_university,10,1,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,4,Painted metal sheets,5,0,-5
pavia_university,10,1,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,6,Bitumen,66,0,-66
pavia_university,10,1,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,8,Shadows,47,0,-47
pavia_university,10,1,ConfidenceGuard-C + SupCon,8,Shadows,0,Asphalt,6,3,-3
pavia_university,10,1,ConfidenceGuard-C + SupCon,8,Shadows,2,Gravel,10,0,-10
pavia_university,10,1,ConfidenceGuard-C + SupCon,8,Shadows,3,Trees,46,30,-16
pavia_university,10,1,ConfidenceGuard-C + SupCon,8,Shadows,4,Painted metal sheets,209,12,-197
pavia_university,10,1,ConfidenceGuard-C + SupCon,8,Shadows,5,Bare Soil,0,6,6
pavia_university,10,1,ConfidenceGuard-C + SupCon,8,Shadows,6,Bitumen,204,26,-178
pavia_university,10,2,ConfidenceGuard-C + SupCon,0,Asphalt,3,Trees,2362,333,-2029
pavia_university,10,2,ConfidenceGuard-C + SupCon,0,Asphalt,6,Bitumen,653,398,-255
pavia_university,10,2,ConfidenceGuard-C + SupCon,1,Meadows,0,Asphalt,518,167,-351
pavia_university,10,2,ConfidenceGuard-C + SupCon,1,Meadows,3,Trees,3281,3241,-40
pavia_university,10,2,ConfidenceGuard-C + SupCon,1,Meadows,5,Bare Soil,322,201,-121
pavia_university,10,2,ConfidenceGuard-C + SupCon,1,Meadows,6,Bitumen,188,243,55
pavia_university,10,2,ConfidenceGuard-C + SupCon,2,Gravel,0,Asphalt,55,0,-55
pavia_university,10,2,ConfidenceGuard-C + SupCon,2,Gravel,6,Bitumen,1,0,-1
pavia_university,10,2,ConfidenceGuard-C + SupCon,2,Gravel,7,Self-Blocking Bricks,3,0,-3
pavia_university,10,2,ConfidenceGuard-C + SupCon,2,Gravel,8,Shadows,99,23,-76
pavia_university,10,2,ConfidenceGuard-C + SupCon,3,Trees,0,Asphalt,43,10,-33
pavia_university,10,2,ConfidenceGuard-C + SupCon,3,Trees,1,Meadows,34,37,3
pavia_university,10,2,ConfidenceGuard-C + SupCon,3,Trees,2,Gravel,14,31,17
pavia_university,10,2,ConfidenceGuard-C + SupCon,3,Trees,7,Self-Blocking Bricks,63,64,1
pavia_university,10,2,ConfidenceGuard-C + SupCon,3,Trees,8,Shadows,4,0,-4
pavia_university,10,2,ConfidenceGuard-C + SupCon,4,Painted metal sheets,8,Shadows,61,3,-58
pavia_university,10,2,ConfidenceGuard-C + SupCon,5,Bare Soil,1,Meadows,168,257,89
pavia_university,10,2,ConfidenceGuard-C + SupCon,5,Bare Soil,6,Bitumen,2,0,-2
pavia_university,10,2,ConfidenceGuard-C + SupCon,5,Bare Soil,8,Shadows,19,0,-19
pavia_university,10,2,ConfidenceGuard-C + SupCon,6,Bitumen,8,Shadows,23,30,7
pavia_university,10,2,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,0,Asphalt,196,52,-144
pavia_university,10,2,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,2,Gravel,42,47,5
pavia_university,10,2,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,3,Trees,150,167,17
pavia_university,10,2,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,6,Bitumen,2,77,75
pavia_university,10,2,ConfidenceGuard-C + SupCon,8,Shadows,2,Gravel,8,16,8
pavia_university,10,2,ConfidenceGuard-C + SupCon,8,Shadows,3,Trees,26,30,4
pavia_university,10,2,ConfidenceGuard-C + SupCon,8,Shadows,4,Painted metal sheets,94,54,-40
pavia_university,10,2,ConfidenceGuard-C + SupCon,8,Shadows,6,Bitumen,46,35,-11
pavia_university,10,3,ConfidenceGuard-C + SupCon,0,Asphalt,2,Gravel,161,196,35
pavia_university,10,3,ConfidenceGuard-C + SupCon,0,Asphalt,3,Trees,175,195,20
pavia_university,10,3,ConfidenceGuard-C + SupCon,0,Asphalt,7,Self-Blocking Bricks,370,47,-323
pavia_university,10,3,ConfidenceGuard-C + SupCon,1,Meadows,0,Asphalt,938,1463,525
pavia_university,10,3,ConfidenceGuard-C + SupCon,1,Meadows,2,Gravel,19,53,34
pavia_university,10,3,ConfidenceGuard-C + SupCon,1,Meadows,3,Trees,323,1132,809
pavia_university,10,3,ConfidenceGuard-C + SupCon,1,Meadows,4,Painted metal sheets,372,0,-372
pavia_university,10,3,ConfidenceGuard-C + SupCon,1,Meadows,5,Bare Soil,1046,961,-85
pavia_university,10,3,ConfidenceGuard-C + SupCon,1,Meadows,7,Self-Blocking Bricks,851,285,-566
pavia_university,10,3,ConfidenceGuard-C + SupCon,2,Gravel,7,Self-Blocking Bricks,176,257,81
pavia_university,10,3,ConfidenceGuard-C + SupCon,2,Gravel,8,Shadows,47,43,-4
pavia_university,10,3,ConfidenceGuard-C + SupCon,3,Trees,0,Asphalt,749,252,-497
pavia_university,10,3,ConfidenceGuard-C + SupCon,3,Trees,1,Meadows,1,6,5
pavia_university,10,3,ConfidenceGuard-C + SupCon,3,Trees,2,Gravel,112,113,1
pavia_university,10,3,ConfidenceGuard-C + SupCon,3,Trees,7,Self-Blocking Bricks,277,203,-74
pavia_university,10,3,ConfidenceGuard-C + SupCon,3,Trees,8,Shadows,40,5,-35
pavia_university,10,3,ConfidenceGuard-C + SupCon,4,Painted metal sheets,8,Shadows,90,19,-71
pavia_university,10,3,ConfidenceGuard-C + SupCon,5,Bare Soil,1,Meadows,561,862,301
pavia_university,10,3,ConfidenceGuard-C + SupCon,5,Bare Soil,8,Shadows,4,6,2
pavia_university,10,3,ConfidenceGuard-C + SupCon,6,Bitumen,5,Bare Soil,2,3,1
pavia_university,10,3,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,0,Asphalt,269,130,-139
pavia_university,10,3,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,2,Gravel,27,12,-15
pavia_university,10,3,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,3,Trees,1,1,0
pavia_university,10,3,ConfidenceGuard-C + SupCon,8,Shadows,2,Gravel,18,12,-6
pavia_university,10,3,ConfidenceGuard-C + SupCon,8,Shadows,3,Trees,0,7,7
pavia_university,10,3,ConfidenceGuard-C + SupCon,8,Shadows,4,Painted metal sheets,75,76,1
pavia_university,10,3,ConfidenceGuard-C + SupCon,8,Shadows,6,Bitumen,31,9,-22
pavia_university,10,3,ConfidenceGuard-C + SupCon,8,Shadows,7,Self-Blocking Bricks,0,1,1
pavia_university,10,4,ConfidenceGuard-C + SupCon,0,Asphalt,1,Meadows,0,2,2
pavia_university,10,4,ConfidenceGuard-C + SupCon,0,Asphalt,3,Trees,1750,1514,-236
pavia_university,10,4,ConfidenceGuard-C + SupCon,0,Asphalt,6,Bitumen,434,459,25
pavia_university,10,4,ConfidenceGuard-C + SupCon,0,Asphalt,7,Self-Blocking Bricks,18,107,89
pavia_university,10,4,ConfidenceGuard-C + SupCon,0,Asphalt,8,Shadows,128,0,-128
pavia_university,10,4,ConfidenceGuard-C + SupCon,1,Meadows,3,Trees,2608,2760,152
pavia_university,10,4,ConfidenceGuard-C + SupCon,1,Meadows,5,Bare Soil,1118,845,-273
pavia_university,10,4,ConfidenceGuard-C + SupCon,1,Meadows,8,Shadows,55,0,-55
pavia_university,10,4,ConfidenceGuard-C + SupCon,2,Gravel,7,Self-Blocking Bricks,457,452,-5
pavia_university,10,4,ConfidenceGuard-C + SupCon,2,Gravel,8,Shadows,54,3,-51
pavia_university,10,4,ConfidenceGuard-C + SupCon,3,Trees,0,Asphalt,203,230,27
pavia_university,10,4,ConfidenceGuard-C + SupCon,3,Trees,1,Meadows,13,21,8
pavia_university,10,4,ConfidenceGuard-C + SupCon,3,Trees,2,Gravel,8,31,23
pavia_university,10,4,ConfidenceGuard-C + SupCon,3,Trees,4,Painted metal sheets,3,1,-2
pavia_university,10,4,ConfidenceGuard-C + SupCon,3,Trees,5,Bare Soil,32,58,26
pavia_university,10,4,ConfidenceGuard-C + SupCon,3,Trees,7,Self-Blocking Bricks,106,118,12
pavia_university,10,4,ConfidenceGuard-C + SupCon,3,Trees,8,Shadows,140,7,-133
pavia_university,10,4,ConfidenceGuard-C + SupCon,5,Bare Soil,1,Meadows,0,3,3
pavia_university,10,4,ConfidenceGuard-C + SupCon,6,Bitumen,0,Asphalt,0,2,2
pavia_university,10,4,ConfidenceGuard-C + SupCon,6,Bitumen,5,Bare Soil,1,0,-1
pavia_university,10,4,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,0,Asphalt,33,18,-15
pavia_university,10,4,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,2,Gravel,34,9,-25
pavia_university,10,4,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,3,Trees,59,14,-45
pavia_university,10,4,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,8,Shadows,2,0,-2
pavia_university,10,4,ConfidenceGuard-C + SupCon,8,Shadows,2,Gravel,12,36,24
pavia_university,10,4,ConfidenceGuard-C + SupCon,8,Shadows,4,Painted metal sheets,147,28,-119
pavia_university,10,4,ConfidenceGuard-C + SupCon,8,Shadows,5,Bare Soil,0,4,4
pavia_university,10,4,ConfidenceGuard-C + SupCon,8,Shadows,6,Bitumen,16,16,0
pavia_university,10,4,ConfidenceGuard-C + SupCon,8,Shadows,7,Self-Blocking Bricks,10,2,-8
indian_pines,5,0,Spectral QNN + SupCon,1,Corn-notill,0,Alfalfa,77,58,-19
