dataset,shot,seed,qnn_label,class_id,class_name,precision_baseline,recall_baseline,f1_baseline,support,accuracy_baseline,precision_qnn,recall_qnn,f1_qnn,accuracy_qnn,delta_precision,delta_recall,delta_f1,delta_accuracy,support_weighted_delta_f1,support_weighted_delta_recall
indian_pines,5,3,Spectral QNN + SupCon,6,Grass-pasture-mowed,0.3653846153846153,1.0,0.5352112676056338,19,1.0,0.3877551020408163,1.0,0.5588235294117647,1.0,0.022370486656201005,0.0,0.023612261806130963,0.0,0.4486329743164883,0.0
indian_pines,5,3,Spectral QNN + SupCon,7,Hay-windrowed,1.0,0.9870410367170628,0.9934782608695653,463,0.9870410367170628,1.0,0.9978401727861772,0.9989189189189188,0.9978401727861772,0.0,0.010799136069114423,0.005440658049353564,0.010799136069114423,2.5190246768507,4.999999999999978
indian_pines,5,3,Spectral QNN + SupCon,8,Oats,0.1132075471698113,1.0,0.2033898305084746,12,1.0,0.081081081081081,1.0,0.15,1.0,-0.03212646608873029,0.0,-0.053389830508474595,0.0,-0.6406779661016951,0.0
indian_pines,5,3,Spectral QNN + SupCon,9,Soybean-notill,0.75,0.6927899686520376,0.7202607278652906,957,0.6927899686520376,0.7222808870116156,0.7147335423197492,0.7184873949579832,0.7147335423197492,-0.027719112988384365,0.021943573667711602,-0.0017733329073074122,0.021943573667711602,-1.6970795922931936,21.000000000000004
indian_pines,5,3,Spectral QNN + SupCon,10,Soybean-mintill,0.9391741071428572,0.6897540983606557,0.7953686200378072,2440,0.6897540983606557,0.9412706887346504,0.7225409836065574,0.8175284025040574,0.7225409836065574,0.0020965815917931563,0.032786885245901676,0.022159782466250277,0.032786885245901676,54.06986921765068,80.00000000000009
indian_pines,5,3,Spectral QNN + SupCon,11,Soybean-clean,0.8164556962025317,0.4463667820069204,0.5771812080536913,578,0.4463667820069204,0.7227979274611399,0.4826989619377163,0.578838174273859,0.4826989619377163,-0.09365776874139176,0.03633217993079585,0.0016569662201676438,0.03633217993079585,0.9577264752568981,21.0
indian_pines,5,3,Spectral QNN + SupCon,12,Wheat,0.2567567567567567,1.0,0.4086021505376344,190,1.0,0.2900763358778626,1.0,0.4497041420118343,1.0,0.03331957912110589,0.0,0.041101991474199906,0.0,7.809378380097982,0.0
indian_pines,5,3,Spectral QNN + SupCon,13,Woods,0.9856194690265486,0.7128,0.8272980501392758,1250,0.7128,0.9812775330396476,0.7128,0.8257645968489342,0.7128,-0.004341935986901024,0.0,-0.001533453290341602,0.0,-1.9168166129270026,0.0
indian_pines,5,3,Spectral QNN + SupCon,14,Buildings-Grass-Trees-Drives,0.967741935483871,0.9703504043126684,0.9690444145356664,371,0.9703504043126684,0.8665105386416861,0.9973045822102424,0.9273182957393484,0.9973045822102424,-0.10123139684218485,0.02695417789757404,-0.041726118796317935,0.02695417789757404,-15.480390073433954,9.999999999999968
indian_pines,5,3,Spectral QNN + SupCon,15,Stone-Steel-Towers,0.2460567823343848,1.0,0.3949367088607595,78,1.0,0.2492012779552715,1.0,0.3989769820971867,1.0,0.0031444956208867003,0.0,0.004040273236427194,0.0,0.31514131244132115,0.0
indian_pines,5,4,Spectral QNN + SupCon,0,Alfalfa,0.12890625,1.0,0.2283737024221453,33,1.0,0.12890625,1.0,0.2283737024221453,1.0,0.0,0.0,0.0,0.0,0.0,0.0
indian_pines,5,4,Spectral QNN + SupCon,1,Corn-notill,0.6654411764705882,0.5123849964614295,0.578968412634946,1413,0.5123849964614295,0.7251908396946565,0.4706298655343241,0.5708154506437768,0.4706298655343241,0.05974966322406827,-0.04175513092710542,-0.008152961991169216,-0.04175513092710542,-11.520135293522102,-58.99999999999996
indian_pines,5,4,Spectral QNN + SupCon,2,Corn-mintill,0.9022556390977444,0.4417177914110429,0.5930807248764415,815,0.4417177914110429,0.8592321755027422,0.5766871165644172,0.6901615271659325,0.5766871165644172,-0.0430234635950022,0.1349693251533743,0.09708080228949101,0.1349693251533743,79.12085386593517,110.00000000000004
indian_pines,5,4,Spectral QNN + SupCon,3,Corn,0.7062937062937062,0.90990990990991,0.7952755905511811,222,0.90990990990991,0.6516129032258065,0.90990990990991,0.7593984962406015,0.90990990990991,-0.0546808030678998,0.0,-0.035877094310579616,0.0,-7.964714936948675,0.0
indian_pines,5,4,Spectral QNN + SupCon,4,Grass-pasture,0.6853448275862069,0.6794871794871795,0.6824034334763949,468,0.6794871794871795,0.6624737945492662,0.6752136752136753,0.6687830687830688,0.6752136752136753,-0.022871033036940602,-0.004273504273504258,-0.01362036469332606,-0.004273504273504258,-6.374330676476596,-1.999999999999993
indian_pines,5,4,Spectral QNN + SupCon,5,Grass-trees,0.7901554404145078,0.8531468531468531,0.82044384667115,715,0.8531468531468531,0.8025806451612904,0.8699300699300699,0.8348993288590604,0.8699300699300699,0.012425204746782548,0.016783216783216814,0.014455482187910373,0.016783216783216814,10.335669764355917,12.000000000000023
indian_pines,5,4,Spectral QNN + SupCon,6,Grass-pasture-mowed,0.3064516129032258,1.0,0.4691358024691358,19,1.0,0.2923076923076923,1.0,0.4523809523809524,1.0,-0.014143920595533488,0.0,-0.016754850088183393,0.0,-0.31834215167548446,0.0
indian_pines,5,4,Spectral QNN + SupCon,7,Hay-windrowed,0.8357400722021661,1.0,0.9105211406096362,463,1.0,0.8024263431542461,1.0,0.8903846153846153,1.0,-0.03331372904791996,0.0,-0.02013652522502085,0.0,-9.323211179184653,0.0
indian_pines,5,4,Spectral QNN + SupCon,8,Oats,0.1081081081081081,1.0,0.1951219512195122,12,1.0,0.136986301369863,0.8333333333333334,0.2352941176470588,0.8333333333333334,0.028878193261754906,-0.16666666666666663,0.04017216642754659,-0.16666666666666663,0.4820659971305591,-1.9999999999999996
indian_pines,5,4,Spectral QNN + SupCon,9,Soybean-notill,0.8112745098039216,0.6917450365726228,0.7467569091934574,957,0.6917450365726228,0.8249075215782984,0.6990595611285266,0.7567873303167421,0.6990595611285266,0.013633011774376813,0.007314524555903867,0.010030421123284672,0.007314524555903867,9.59911301498343,7.000000000000001
indian_pines,5,4,Spectral QNN + SupCon,10,Soybean-mintill,0.8729005901044031,0.7881147540983606,0.8283437432694378,2440,0.7881147540983606,0.8586365537432037,0.8413934426229508,0.8499275512316291,0.8413934426229508,-0.01426403636119944,0.05327868852459017,0.02158380796219128,0.05327868852459017,52.664491427746725,130.0
indian_pines,5,4,Spectral QNN + SupCon,11,Soybean-clean,0.659942363112392,0.7923875432525952,0.720125786163522,578,0.7923875432525952,0.6587436332767402,0.671280276816609,0.6649528706083976,0.671280276816609,-0.001198729835651724,-0.12110726643598624,-0.05517291555512438,-0.12110726643598624,-31.88994519086189,-70.00000000000004
indian_pines,5,4,Spectral QNN + SupCon,12,Wheat,0.3119868637110016,1.0,0.4755944931163955,190,1.0,0.475,1.0,0.6440677966101694,1.0,0.16301313628899838,0.0,0.16847330349377393,0.0,32.009927663817045,0.0
indian_pines,5,4,Spectral QNN + SupCon,13,Woods,0.995656894679696,0.7336,0.8447719944725933,1250,0.7336,0.9792349726775956,0.7168,0.8277136258660508,0.7168,-0.016421922002100353,-0.016800000000000037,-0.01705836860654253,-0.016800000000000037,-21.322960758178162,-21.000000000000046
indian_pines,5,4,Spectral QNN + SupCon,14,Buildings-Grass-Trees-Drives,0.6157894736842106,0.9460916442048516,0.7460148777895855,371,0.9460916442048516,0.5425219941348973,0.9973045822102424,0.7027540360873694,0.9973045822102424,-0.07326747954931323,0.05121293800539084,-0.04326084170221611,0.05121293800539084,-16.049772271522176,19.0
indian_pines,5,4,Spectral QNN + SupCon,15,Stone-Steel-Towers,0.3561643835616438,1.0,0.5252525252525253,78,1.0,0.3263598326359833,1.0,0.4921135646687697,1.0,-0.029804550925660533,0.0,-0.033138960583755595,0.0,-2.5848389255329365,0.0
indian_pines,10,0,Spectral QNN + SupCon,0,Alfalfa,0.2871287128712871,1.0,0.4461538461538462,29,1.0,0.2636363636363636,1.0,0.4172661870503597,1.0,-0.023492349234923493,0.0,-0.02888765910348645,0.0,-0.8377421140011071,0.0
indian_pines,10,0,Spectral QNN + SupCon,1,Corn-notill,0.7874015748031497,0.7102272727272727,0.7468259895444361,1408,0.7102272727272727,0.7901639344262295,0.6846590909090909,0.7336377473363774,0.6846590909090909,0.002762359623079802,-0.025568181818181768,-0.013188242208058698,-0.025568181818181768,-18.569045028946647,-35.99999999999993
indian_pines,10,0,Spectral QNN + SupCon,2,Corn-mintill,0.7932692307692307,0.8148148148148148,0.8038976857490865,810,0.8148148148148148,0.930835734870317,0.7975308641975308,0.8590425531914894,0.7975308641975308,0.13756650410108628,-0.01728395061728394,0.05514486744240288,-0.01728395061728394,44.66734262834633,-13.99999999999999
indian_pines,10,0,Spectral QNN + SupCon,3,Corn,0.7824427480916031,0.9447004608294932,0.8559498956158664,217,0.9447004608294932,0.819672131147541,0.9216589861751152,0.8676789587852495,0.9216589861751152,0.037229383055937926,-0.023041474654378002,0.011729063169383047,-0.023041474654378002,2.545206707756121,-5.000000000000027
indian_pines,10,0,Spectral QNN + SupCon,4,Grass-pasture,0.941031941031941,0.8272138228941684,0.8804597701149425,463,0.8272138228941684,0.8818181818181818,0.838012958963283,0.8593576965669989,0.838012958963283,-0.059213759213759154,0.010799136069114534,-0.02110207354794358,0.010799136069114534,-9.770260052697877,5.000000000000029
indian_pines,10,0,Spectral QNN + SupCon,5,Grass-trees,0.8181818181818182,0.9253521126760564,0.8684732319894249,710,0.9253521126760564,0.8479685452162516,0.9112676056338028,0.878479293957909,0.9112676056338028,0.029786727034433413,-0.014084507042253613,0.010006061968484081,-0.014084507042253613,7.104303997623697,-10.000000000000066
indian_pines,10,0,Spectral QNN + SupCon,6,Grass-pasture-mowed,0.2272727272727272,1.0,0.3703703703703703,15,1.0,0.2272727272727272,1.0,0.3703703703703703,1.0,0.0,0.0,0.0,0.0,0.0,0.0
indian_pines,10,0,Spectral QNN + SupCon,7,Hay-windrowed,0.9934924078091106,1.0,0.9967355821545156,458,1.0,0.9956521739130436,1.0,0.9978213507625272,1.0,0.0021597661039329807,0.0,0.0010857686080115725,0.0,0.4972820224693002,0.0
indian_pines,10,0,Spectral QNN + SupCon,8,Oats,0.1428571428571428,1.0,0.25,8,1.0,0.125,0.875,0.21875,0.875,-0.017857142857142794,-0.125,-0.03125,-0.125,-0.25,-1.0
indian_pines,10,0,Spectral QNN + SupCon,9,Soybean-notill,0.7909875359539789,0.8665966386554622,0.8270676691729323,952,0.8665966386554622,0.7432675044883303,0.8697478991596639,0.8015488867376573,0.8697478991596639,-0.047720031465648516,0.0031512605042016695,-0.025518782435274945,0.0031512605042016695,-24.29388087838175,2.9999999999999893
